[06.01.20 00:46:52] Args: {
    "batch_size": 64,
    "class_weights": [
        0.64205186,
        2.25992063
    ],
    "company_files": "dataset.csv",
    "data_shuffle": false,
    "dataset_version": "0.0.1",
    "decay_rate": 0.95,
    "decay_steps": 10000,
    "download_path": "~",
    "drop_prob": 0.4,
    "eval_steps": 100,
    "hidden_size": 1024,
    "input_dir": "./data",
    "learning_rate": 0.5,
    "load_path": null,
    "log_device_placement": false,
    "max_checkpoints": 5,
    "max_document_size": 250,
    "max_sentence_length": 512,
    "metric_name": "mse_loss",
    "model": "baseline",
    "name": "baseline",
    "num_epochs": 50,
    "number_of_periods": 3,
    "optimizer": "Adadelta",
    "save_dir": "./save/",
    "seed": 224,
    "use_lr_scheduler": false
}
[06.01.20 00:50:15] Training step - 7 train_loss - 0.922885850071907, train_accuracy - 0.2542857229709625), train_recall_class_0 - 0.04089219495654106), train_recall_class_1 - 0.9629629850387573), train_precision_class_0 - 0.7857142686843872), train_precision_class_1 - 0.2321428507566452), train_auc - 0.21802449226379395)
[06.01.20 03:26:49] Training step - 265 train_loss - 0.5138357778390249, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9575755000114441)
[06.01.20 03:27:14] Training step - 265 dev_loss - 0.7971645593643188, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.4545454680919647), dev_precision_class_0 - 0.8125), dev_precision_class_1 - 0.5555555820465088), dev_auc - 0.6906603574752808)
[06.01.20 03:30:26] Training step - 271 train_loss - 0.5136015216509501, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9579020142555237)
[06.01.20 03:30:50] Training step - 271 dev_loss - 0.7956664562225342, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.4545454680919647), dev_precision_class_0 - 0.8125), dev_precision_class_1 - 0.5555555820465088), dev_auc - 0.6882808208465576)
[06.01.20 03:34:02] Training step - 277 train_loss - 0.5133811682462692, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9579020738601685)
[06.01.20 03:34:27] Training step - 277 dev_loss - 0.7942309379577637, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.4545454680919647), dev_precision_class_0 - 0.8125), dev_precision_class_1 - 0.5555555820465088), dev_auc - 0.6906603574752808)
[06.01.20 03:37:38] Training step - 283 train_loss - 0.5131737689177195, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9581142663955688)
[06.01.20 03:38:03] Training step - 283 dev_loss - 0.7928569316864014, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.4545454680919647), dev_precision_class_0 - 0.8125), dev_precision_class_1 - 0.5555555820465088), dev_auc - 0.6948245167732239)
[06.01.20 03:41:15] Training step - 289 train_loss - 0.5129783973097801, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9581061005592346)
[06.01.20 03:41:40] Training step - 289 dev_loss - 0.7915425300598145, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.4545454680919647), dev_precision_class_0 - 0.8125), dev_precision_class_1 - 0.5555555820465088), dev_auc - 0.6954193711280823)
[06.01.20 03:44:51] Training step - 295 train_loss - 0.5127942090233167, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9580978751182556)
[06.01.20 03:45:16] Training step - 295 dev_loss - 0.7902857065200806, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.4545454680919647), dev_precision_class_0 - 0.8125), dev_precision_class_1 - 0.5555555820465088), dev_auc - 0.6960142254829407)
[06.01.20 03:48:12] Training step - 300 train_loss - 0.5666273951530456, train_accuracy - 0.9468749761581421), train_recall_class_0 - 0.9471544623374939), train_recall_class_1 - 0.9459459185600281), train_precision_class_0 - 0.9831223487854004), train_precision_class_1 - 0.8433734774589539), train_auc - 0.9541113376617432)
[06.01.20 03:48:27] Training step - 301 train_loss - 0.5126204366485277, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9580734372138977)
[06.01.20 03:48:52] Training step - 301 dev_loss - 0.7890845537185669, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.4545454680919647), dev_precision_class_0 - 0.8125), dev_precision_class_1 - 0.5555555820465088), dev_auc - 0.6972039937973022)
